run	sampleID	experiment	time	treatment	replicate
72	072_69	1	zero	zero	1
72	072_70	1	zero	zero	2
72	072_71	1	four	zero	1
72	072_72	1	four	zero	2
72	072_73	1	four	five_epi	1
72	072_74	1	four	five_epi	2
72	072_75	1	four	five_nor	1
72	072_76	1	four	five_nor	2
72	072_77	1	four	mix	1
72	072_78	1	four	mix	2
72	072_79	1	four	TNFa	1
72	072_80	1	four	TNFa	2
72	072_81	1	twentyfour	zero	1
72	072_82	1	twentyfour	zero	2
72	072_83	1	twentyfour	five_epi	1
72	072_84	1	twentyfour	five_epi	2
72	072_85	1	twentyfour	five_nor	1
72	072_86	1	twentyfour	five_nor	2
72	072_87	1	twentyfour	mix	1
72	072_88	1	twentyfour	mix	2
72	072_89	1	twentyfour	TNFa	1
72	072_90	1	twentyfour	TNFa	2
72	072_159	2	zero	zero	1
72	072_160	2	zero	zero	2
72	072_161	2	four	zero	1
72	072_162	2	four	zero	2
72	072_163	2	four	five_epi	1
72	072_164	2	four	five_epi	2
72	072_165	2	four	five_nor	1
72	072_166	2	four	five_nor	2
72	072_167	2	four	mix	1
72	072_168	2	four	mix	2
72	072_169	2	four	TNFa	1
72	072_170	2	four	TNFa	2
72	072_171	2	twentyfour	zero	1
72	072_172	2	twentyfour	zero	2
72	072_173	2	twentyfour	five_epi	1
72	072_174	2	twentyfour	five_epi	2
72	072_175	2	twentyfour	five_nor	1
72	072_176	2	twentyfour	five_nor	2
72	072_177	2	twentyfour	mix	1
72	072_178	2	twentyfour	mix	2
72	072_179	2	twentyfour	TNFa	1
72	072_180	2	twentyfour	TNFa	2
72	072_249	3	zero	zero	1
72	072_250	3	zero	zero	2
72	072_251	3	four	zero	1
72	072_252	3	four	zero	2
72	072_253	3	four	five_epi	1
72	072_254	3	four	five_epi	2
72	072_255	3	four	five_nor	1
72	072_256	3	four	five_nor	2
72	072_257	3	four	mix	1
72	072_258	3	four	mix	2
72	072_259	3	four	TNFa	1
72	072_260	3	four	TNFa	2
72	072_261	3	twentyfour	zero	1
72	072_262	3	twentyfour	zero	2
72	072_263	3	twentyfour	five_epi	1
72	072_264	3	twentyfour	five_epi	2
72	072_265	3	twentyfour	five_nor	1
72	072_266	3	twentyfour	five_nor	2
72	072_267	3	twentyfour	mix	1
72	072_268	3	twentyfour	mix	2
72	072_269	3	twentyfour	TNFa	1
72	072_270	3	twentyfour	TNFa	2
73	073_32	1	zero	zero	1
73	073_33	1	zero	zero	2
73	073_34	1	four	zero	1
73	073_35	1	four	zero	2
73	073_36	1	four	mix	1
73	073_37	1	four	mix	2
73	073_38	1	four	mix_plus_ilo	1
73	073_39	1	four	mix_plus_ilo	2
73	073_40	1	four	ilo_only	1
73	073_41	1	four	ilo_only	2
73	073_73	2	zero	zero	1
73	073_74	2	zero	zero	2
73	073_75	2	four	zero	1
73	073_76	2	four	zero	2
73	073_77	2	four	mix	1
73	073_78	2	four	mix	2
73	073_79	2	four	mix_plus_ilo	1
73	073_80	2	four	mix_plus_ilo	2
73	073_81	2	four	ilo_only	1
73	073_82	2	four	ilo_only	2
73	073_114	3	zero	zero	1
73	073_115	3	zero	zero	2
73	073_116	3	four	zero	1
73	073_117	3	four	zero	2
73	073_118	3	four	mix	1
73	073_119	3	four	mix	2
73	073_120	3	four	mix_plus_ilo	1
73	073_121	3	four	mix_plus_ilo	2
73	073_122	3	four	ilo_only	1
73	073_123	3	four	ilo_only	2